ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Family_Size,Total_Children,Total_Spending,Total_Purchases,Total_Campaigns_Accepted,Customer_Tenure_Days,Cluster,PCA1,PCA2
1130,1961,Master,Married,89262.67,0,0,2014-10-27,32,585,86,569,38,72,102,1,5,9,8,2,0,1,1,0,0,0,1,54,2,0,1452,23,3,31,0,3.802936792092754,0.09366717658655674
1131,1972,Basic,Married,35702.52,2,0,2014-11-21,93,1,0,35,4,7,12,1,2,1,0,5,0,0,0,0,0,0,0,43,4,2,59,4,0,6,2,-2.2666329384014667,-1.388196458912434
1132,1977,2n Cycle,Divorced,22716.63,1,1,2012-12-06,13,68,10,29,0,10,11,0,1,1,1,6,0,0,0,0,0,0,0,38,3,2,128,3,0,721,2,-1.330350289366259,-1.3903318209359814
1133,1971,PhD,Married,87788.2,0,0,2013-09-18,26,701,82,599,83,72,49,1,6,4,3,3,0,0,0,0,0,0,0,44,2,0,1586,14,0,435,0,2.427844366286281,0.4678968797498371
1134,1986,2n Cycle,Together,37490.84,1,0,2014-07-19,55,127,4,54,11,24,37,7,6,0,1,6,0,0,0,0,0,0,1,29,3,1,257,14,1,131,1,-2.0826270706615966,1.6344718769500872
1135,1967,Master,Single,56369.6,0,1,2014-08-08,61,381,32,159,41,32,79,3,3,2,6,6,0,0,0,0,0,0,0,48,2,1,724,14,0,111,3,-0.11964129279904423,-0.01902536478426157
1136,1987,2n Cycle,Divorced,36424.09,1,0,2014-11-15,81,52,0,38,14,3,0,2,1,0,2,3,0,0,0,0,0,0,0,28,2,1,107,5,0,12,2,-1.8014982687569185,-1.6875214301772834
1137,1963,Graduation,Together,84023.73,0,0,2014-01-17,40,551,36,459,132,54,78,3,6,9,7,5,0,0,0,0,0,0,0,52,2,0,1310,25,0,314,0,2.7906938377928565,1.2720267482287992
1138,1935,Master,Together,43373.48,0,2,2013-07-06,31,258,61,199,20,43,66,0,2,4,9,2,0,0,0,0,0,0,1,80,4,2,647,15,1,509,3,1.3988393368697598,-1.6384135121422967
1139,1970,Graduation,Divorced,13937.7,0,1,2013-04-08,43,71,6,73,7,1,13,2,3,0,0,5,0,0,0,0,0,0,0,45,2,1,171,5,0,598,2,-2.1466039697856374,-0.7534081574306981
1140,1957,Graduation,Married,60703.37,0,2,2013-11-03,71,180,15,203,11,30,30,1,3,1,6,5,0,0,1,1,0,0,0,58,4,2,469,11,2,389,3,-0.28365852724311924,-0.8139707907516182
1141,1968,PhD,Divorced,73274.4,0,1,2014-11-17,11,720,75,391,78,98,81,0,0,7,8,3,0,0,0,0,0,0,1,47,2,1,1443,15,1,10,0,3.243288948228159,-1.3929745587762146
1142,1968,PhD,Married,71169.64,0,0,2012-06-14,9,641,65,397,83,53,133,2,9,10,8,1,1,0,0,0,0,0,0,47,2,0,1372,29,1,896,0,3.984375427705346,1.2582523777390235
1143,1991,Master,Divorced,32207.57,1,0,2014-07-06,14,50,25,0,34,13,12,7,3,2,3,7,0,0,1,0,0,0,0,24,2,1,134,15,1,144,1,-1.3819257805719327,1.2238115600009047
1144,1974,Graduation,Divorced,25573.75,1,1,2014-09-02,46,58,7,60,12,11,19,0,1,0,1,4,0,0,0,0,0,0,0,41,3,2,167,2,0,86,2,-1.5835603837920222,-1.9108296678337862
1145,1959,Master,Married,85937.34,0,0,2012-10-20,2,532,67,433,139,61,85,3,2,4,5,5,0,0,0,1,0,0,1,56,2,0,1317,14,2,768,0,2.175013274309367,0.32007986811541245
1146,1964,PhD,Married,86854.62,0,0,2014-10-24,45,502,70,252,125,77,148,2,5,3,9,5,0,0,0,0,0,0,1,51,2,0,1174,19,1,34,0,1.963272896421416,0.48268070645786637
1147,1998,Graduation,Single,51435.76,2,0,2013-12-07,28,114,31,143,46,21,29,3,8,0,1,9,0,0,0,0,0,0,0,17,3,2,384,12,0,355,1,-1.3245101368767724,1.8752987962095415
1148,1969,PhD,Single,81611.82,1,0,2013-10-10,34,654,69,453,94,87,137,0,3,9,11,3,0,0,0,0,0,0,1,46,2,1,1494,23,1,413,0,3.9326254384655392,-0.6408109252086478
1149,1963,Master,Single,68123.61,0,0,2014-03-18,9,560,5,313,104,68,143,3,5,10,5,1,1,0,0,0,0,0,1,52,1,0,1193,23,2,254,0,3.1901878369778607,0.46014956988014544
1150,1966,Graduation,Married,65855.39,0,0,2014-04-27,23,596,49,618,77,16,128,0,6,6,11,4,0,1,0,0,0,0,0,49,2,0,1484,23,1,214,0,3.1982945102637736,0.1461408540139029
1151,1970,Master,Married,55156.54,1,1,2014-01-18,41,236,54,189,65,31,93,0,1,1,10,7,0,0,0,0,0,0,0,45,4,2,668,12,0,313,3,0.4688583040112706,-1.169679331792628
1152,1975,PhD,Married,64221.86,0,2,2014-03-21,26,344,15,136,62,4,74,2,3,3,4,5,0,0,0,0,0,0,0,40,4,2,635,12,0,251,3,0.5598521087357929,-0.13359395185665393
1153,1994,Graduation,Single,36593.8,2,1,2013-12-16,18,75,9,50,4,17,39,8,5,2,0,8,0,0,0,0,0,0,1,21,4,3,194,15,1,346,1,-1.8249871463217289,2.2395907358472176
1154,1966,Master,Together,74499.86,1,0,2014-02-23,0,708,31,405,133,54,139,1,4,7,11,3,0,1,1,0,0,0,1,49,3,1,1470,23,3,277,0,3.838661624548161,-0.042779028756221624
1155,1977,Master,Single,49787.54,0,1,2013-03-21,36,31,4,83,6,31,18,12,6,0,0,9,0,0,1,0,0,0,0,38,2,1,173,18,1,616,1,-2.583192316281741,3.649538313325382
1156,1974,2n Cycle,Married,54399.08,1,0,2013-01-20,24,276,49,204,66,11,41,4,1,1,7,5,0,0,0,0,0,0,0,41,3,1,647,13,0,676,3,0.22644035486160308,-0.3023152917616909
1157,1980,2n Cycle,Single,37156.23,1,0,2013-12-26,45,31,10,77,14,12,10,1,0,0,0,6,0,0,0,1,0,0,0,35,2,1,154,1,1,336,2,-1.8410036684439213,-1.4765940086834777
1158,1970,Graduation,Single,17289.01,1,1,2013-04-30,45,51,0,5,14,0,16,1,3,0,5,7,0,0,0,0,0,0,0,45,3,2,86,9,0,576,2,-1.7458206360297324,-0.7663913726055245
1159,1988,Graduation,Married,33648.79,0,0,2012-11-04,46,101,2,23,34,23,32,3,5,0,0,6,0,0,0,0,0,1,0,27,2,0,215,8,0,753,1,-1.9031488365805882,0.34249862945645837
1160,1964,PhD,Married,95624.54,0,1,2013-05-18,13,809,60,599,112,39,32,3,8,6,8,2,0,0,0,1,1,0,0,51,3,1,1651,25,2,558,0,3.801810208603504,1.5053006450939412
1161,1981,2n Cycle,Single,29842.03,0,0,2014-07-08,50,92,9,26,14,0,20,1,2,1,0,4,0,0,0,0,0,0,0,34,1,0,161,4,0,142,2,-1.571925438189325,-1.3267602331063135
1162,1987,Master,Single,29121.23,1,1,2014-06-08,38,42,7,30,5,14,37,2,0,1,0,6,0,0,0,1,1,0,0,28,3,2,135,3,2,172,2,-1.8456138377256153,-1.2036098832478155
1163,1983,PhD,Married,47759.0,1,0,2014-02-03,11,133,4,60,5,37,24,9,5,0,5,6,0,0,0,0,0,0,0,32,3,1,263,19,0,297,1,-0.9587221523337224,2.1825070256938512
1164,1971,Graduation,Divorced,32730.1,0,1,2014-09-06,53,29,4,0,0,0,0,2,2,1,2,1,0,0,0,0,0,0,0,44,2,1,33,7,0,82,2,-1.114060375169746,-1.593771078814176
1165,1979,2n Cycle,Divorced,39464.86,0,0,2013-11-26,54,0,8,56,13,8,4,3,3,0,4,6,0,0,0,0,0,0,0,36,1,0,89,10,0,366,2,-1.5668250258749963,-0.26303587921389865
1166,1962,2n Cycle,Married,74106.97,0,2,2014-09-22,38,334,26,246,55,9,27,2,3,5,10,4,0,0,0,0,0,0,0,53,4,2,697,20,0,66,3,1.8705311787180066,-0.29498120958232577
1167,1970,Basic,Together,36166.3,1,0,2014-09-10,34,104,4,26,9,3,16,1,4,1,3,6,0,0,0,0,0,0,0,45,3,1,162,9,0,78,2,-1.0624866951890681,-0.37808037312416104
1168,1961,PhD,Single,88769.63,1,0,2012-10-08,4,220,52,583,48,54,155,2,7,6,9,1,1,0,0,0,1,0,1,54,2,1,1112,24,3,780,0,3.5737696681342066,0.7045867733967244
1169,1984,Graduation,Married,24094.45,1,0,2014-06-20,35,209,12,118,18,23,15,5,7,1,4,8,0,0,0,0,0,0,0,31,3,1,395,17,0,160,1,-1.4871483711136713,1.7186531736506376
1170,1993,2n Cycle,Single,34356.28,0,0,2013-07-16,18,88,16,114,31,6,24,7,5,0,3,8,0,0,0,0,0,0,0,22,1,0,279,15,0,499,1,-1.662907641063787,1.8623991586564121
1171,1947,PhD,Together,88651.89,1,0,2013-09-25,31,632,65,297,124,85,125,0,8,6,9,6,0,0,0,0,0,0,1,68,3,1,1328,23,1,428,0,2.9435111404055436,1.1268486939883622
1172,1990,Graduation,Widow,32565.1,1,0,2014-06-27,61,0,4,20,10,10,11,0,0,0,3,5,0,0,0,0,0,0,0,25,2,1,55,3,0,153,2,-1.6605186998363721,-2.092786297348571
1173,1959,2n Cycle,Married,99181.09,0,0,2012-12-16,21,669,90,448,97,64,33,0,4,5,9,4,0,1,1,1,0,0,1,56,2,0,1401,18,4,711,0,3.362434739981,-0.12637507527543584
1174,1965,Master,Married,49071.69,0,1,2013-06-03,16,481,33,183,64,26,48,4,0,3,10,4,1,0,0,0,0,0,0,50,3,1,835,17,1,542,3,1.2192500084710454,-0.6631866856554185
1175,1975,2n Cycle,Divorced,75184.51,0,0,2012-10-09,49,899,45,403,0,92,60,3,8,3,6,4,0,0,0,1,0,0,0,40,1,0,1499,20,1,779,0,1.7373481698578574,1.359071803271595
1176,1985,2n Cycle,Married,61148.84,0,0,2014-10-22,53,148,17,182,4,5,0,4,9,1,5,4,0,0,0,1,0,0,1,30,2,0,356,19,2,36,1,-0.22444545636012855,1.495303819294288
1177,1977,Graduation,Together,43842.54,2,1,2014-09-20,31,32,7,54,13,13,38,2,9,0,1,4,0,0,0,1,0,0,0,38,5,3,157,12,1,68,1,-0.9741282026891046,0.9465249617022133
1178,1979,Graduation,Divorced,93902.87,0,0,2013-04-23,31,941,89,332,76,85,69,0,2,10,9,3,1,0,0,1,1,0,1,36,1,0,1592,21,4,583,0,4.210586976620133,-0.7098002752485343
1179,1959,Master,Married,39920.73,1,0,2012-11-14,49,342,37,117,3,18,78,0,4,0,4,4,0,0,0,0,0,0,0,56,3,1,595,8,0,743,2,-0.4642848202249597,-0.9949938470607517
1180,1966,PhD,Together,61454.56,0,1,2014-07-10,32,252,11,108,23,30,63,1,4,2,9,2,0,0,0,0,0,0,0,49,3,1,487,16,0,140,3,1.2396966077743095,-0.8093554380394804
1181,1991,Graduation,Married,57101.76,0,0,2013-08-01,56,30,13,122,16,9,51,2,3,0,4,8,0,0,0,0,0,0,0,24,2,0,241,9,0,483,2,-1.2670923040466693,-0.05060452713309408
1182,1953,Graduation,Divorced,53670.04,1,0,2014-05-20,23,156,29,238,7,30,47,1,4,2,7,7,1,0,0,0,0,0,0,62,2,1,507,14,1,191,3,0.3126147249260609,0.02329975631511002
1183,1976,Master,Single,80597.97,0,1,2014-01-29,23,527,57,342,90,63,96,2,9,7,8,4,0,0,0,0,0,0,0,39,2,1,1175,26,0,302,0,2.9050508824256775,1.5992975204380815
1184,1986,Graduation,Together,74771.47,0,0,2013-01-28,25,581,57,476,157,100,111,0,3,4,5,3,0,1,0,1,0,0,0,29,2,0,1482,12,2,668,0,2.328332068425169,-0.7271522895988608
1185,1971,2n Cycle,Divorced,42352.45,1,1,2013-04-11,72,100,23,75,15,21,36,3,8,0,3,2,0,0,1,0,0,0,0,44,3,2,270,14,1,595,1,-1.0459454798447065,0.36608836619907875
1186,1990,Basic,Together,42980.95,1,1,2013-03-10,53,217,4,74,4,14,18,7,7,0,4,6,1,0,0,1,0,0,0,25,4,2,331,18,2,627,1,-1.471359541004718,1.922006346333308
1187,1975,Graduation,Widow,86399.34,0,1,2012-06-22,3,707,80,570,49,86,56,2,4,10,4,4,0,0,0,0,1,0,1,40,2,1,1548,20,2,888,0,3.526294010702481,0.6741938916325697
1188,1975,Graduation,Widow,36366.72,0,0,2014-03-01,65,2,2,60,0,8,14,2,3,2,0,4,0,0,0,0,0,0,0,40,1,0,86,7,0,271,2,-1.6055882291904529,-0.8157975579288596
1189,1982,PhD,Married,37511.16,0,0,2014-04-28,59,61,0,32,20,0,29,1,2,0,2,2,0,1,0,0,0,0,0,33,2,0,142,5,1,213,2,-1.2072402122580392,-1.7084809195720585
1190,1957,Graduation,Divorced,94323.12,0,1,2014-10-08,11,715,59,404,88,57,149,0,4,7,7,4,0,0,0,0,1,0,1,58,2,1,1472,18,2,50,0,3.548466021807368,0.0026159213212560914
1191,2000,Graduation,Together,48880.25,0,1,2014-04-11,29,175,7,116,27,17,29,6,6,1,1,6,1,1,1,0,1,0,0,15,3,1,371,14,4,230,1,-1.1384473484321977,1.6646981269716907
1192,1987,Graduation,Divorced,40623.3,1,1,2014-08-21,26,98,0,0,9,17,43,4,6,2,5,7,0,0,0,0,0,0,0,28,3,2,167,17,0,98,1,-0.7689750972790034,1.190269711370898
1193,1975,Graduation,Single,34112.58,1,0,2013-02-02,99,86,1,107,0,16,0,7,8,0,2,8,0,0,0,0,0,0,0,40,2,1,210,17,0,663,1,-2.88309600014527,2.177143575797696
1194,2000,PhD,Married,52642.47,1,1,2012-09-01,57,126,0,3,30,8,26,6,2,0,4,6,0,0,0,1,0,0,0,15,4,2,193,12,1,817,1,-1.5073669241874383,0.37280193112817894
1195,1969,2n Cycle,Divorced,50671.86,0,0,2013-07-03,43,321,32,120,41,40,56,2,3,3,9,7,0,1,0,1,0,0,0,46,1,0,610,17,2,512,3,0.386797129822127,-0.09089643663655127
1196,1980,2n Cycle,Together,32793.4,0,0,2013-06-24,74,45,0,75,7,1,15,2,0,0,4,4,0,0,1,0,0,0,0,35,2,0,143,6,1,521,2,-1.6539236742067722,-1.7977702452901034
1197,1987,Master,Single,45139.73,0,0,2014-09-05,79,115,10,155,21,24,19,6,9,0,4,6,0,0,0,0,0,0,0,28,1,0,344,19,0,83,1,-1.6347917399929377,2.0497075134823173
1198,1957,PhD,Married,61249.19,1,2,2013-12-18,54,260,24,196,25,19,50,2,0,1,9,0,0,0,0,0,0,0,0,58,5,3,574,12,0,344,3,0.9357152155668235,-2.0660479851195044
1199,1970,Graduation,Together,49206.33,0,1,2013-10-02,25,415,32,106,93,14,23,0,5,2,8,6,0,0,0,0,0,0,0,45,3,1,683,15,0,421,3,0.7285543915206559,-0.17011155667819888
1200,1951,Graduation,Married,58035.16,0,2,2013-01-17,25,283,16,195,39,31,74,2,2,1,7,2,1,0,1,0,0,0,0,64,4,2,638,12,2,679,3,0.8635052705918299,-1.033648640768361
1201,1970,PhD,Together,122874.62,0,1,2014-08-28,29,778,43,462,87,86,138,1,7,5,4,5,1,1,1,1,0,0,1,45,3,1,1594,17,5,91,0,3.1659016272576013,1.331840795607747
1202,1962,PhD,Married,54467.23,1,1,2014-07-07,28,424,33,237,52,33,45,3,2,1,6,4,0,0,0,0,0,0,0,53,4,2,824,12,0,143,3,0.4596034026773393,-0.44326086346371846
1203,1990,Graduation,Divorced,19182.66,1,0,2014-07-23,69,29,5,28,8,9,13,0,1,0,5,3,0,0,0,0,0,0,0,25,2,1,92,6,0,127,2,-1.468792952374242,-2.327210459961653
1204,1951,PhD,Married,50693.8,1,0,2013-03-07,38,461,32,193,35,28,48,2,1,2,12,3,0,0,0,0,0,0,0,64,3,1,797,17,0,630,3,1.3220946242167446,-1.2766025087326884
1205,1994,2n Cycle,Together,44438.17,2,1,2014-09-21,65,148,21,0,7,0,9,6,5,0,5,7,0,0,0,0,0,0,0,21,5,3,185,16,0,67,1,-1.7225381117606204,1.1953157181790757
1206,1951,Master,Married,63370.77,1,1,2014-11-14,34,253,22,116,51,21,39,1,4,0,7,5,0,0,0,0,0,0,0,64,4,2,502,12,0,13,3,0.29063380901571706,-0.3569243566381468
1207,1969,Master,Divorced,52623.08,0,0,2013-11-30,15,368,19,269,58,31,78,3,2,1,4,5,1,0,0,0,0,0,1,46,1,0,823,10,2,362,3,0.21597400153655635,-0.19174058391777876
1208,1969,PhD,Married,59001.18,1,0,2013-02-14,46,276,38,256,7,30,59,2,2,4,7,4,0,0,0,1,0,0,0,46,3,1,666,15,1,651,3,0.8570826670922785,-0.7187887075312739
1209,1970,PhD,Together,71807.07,0,0,2013-02-04,45,723,114,768,118,46,111,1,7,11,7,1,0,0,0,1,0,0,0,45,2,0,1880,26,1,661,0,4.072197529760326,0.40258994999118203
1210,1973,Basic,Single,25676.99,0,0,2013-10-21,42,34,12,0,19,8,11,3,2,0,0,5,0,0,0,0,0,0,0,42,1,0,84,5,0,402,2,-2.0839894849918643,-0.6690279872428445
1211,1963,Basic,Married,27858.22,1,0,2013-03-01,43,55,0,17,3,9,16,3,2,0,2,4,0,0,0,0,0,0,0,52,3,1,100,7,0,636,2,-1.655916764461778,-0.8452263847847886
1212,1986,Master,Married,44333.14,0,0,2013-09-14,18,141,22,118,28,21,6,4,5,3,1,4,0,0,0,0,0,0,0,29,2,0,336,13,0,439,1,-0.38392695189488824,0.6391161152513269
1213,1976,Master,Married,30000.0,1,1,2013-09-14,28,176,25,132,32,44,51,3,4,6,6,6,0,0,0,0,0,0,0,39,4,2,460,19,0,439,3,0.21842016236797895,0.31727772493453815
1214,1984,Master,Divorced,79330.08,0,0,2013-12-14,29,975,44,581,74,111,61,1,7,7,9,3,1,0,0,0,0,0,1,31,1,0,1846,24,2,348,0,3.735513461020996,0.7088667118103896
1215,1964,Graduation,Together,34103.28,1,0,2013-04-25,80,19,4,56,18,17,12,0,4,1,3,8,0,0,0,0,0,0,0,51,3,1,126,8,0,581,2,-1.9465670463521343,-0.6100869553417575
1216,1980,Graduation,Divorced,24665.57,2,0,2014-04-29,79,0,1,40,7,2,21,1,2,1,2,7,0,0,0,0,0,0,0,35,3,2,71,6,0,212,2,-2.305481154384574,-1.0956368751718728
1217,1960,Master,Married,46773.39,1,1,2013-01-23,54,258,48,45,25,52,65,0,4,2,8,3,0,0,0,0,0,0,0,55,4,2,493,14,0,673,3,0.47078317631769995,-1.140119065836599
1218,1961,Master,Married,63463.48,1,2,2013-01-16,26,501,47,149,38,22,38,3,2,1,5,7,0,0,1,0,0,0,0,54,5,3,795,11,1,680,3,0.12258050914587144,0.13324358872442135
1219,1975,PhD,Single,73276.32,0,0,2012-11-01,21,702,68,300,28,54,117,1,6,9,11,4,1,1,0,0,1,0,0,40,1,0,1269,27,3,756,0,3.5830823445226176,0.5432834529138518
1220,1983,Graduation,Married,33492.29,1,1,2014-05-23,55,86,13,91,7,21,40,3,6,0,6,8,0,1,0,0,0,0,1,32,4,2,258,15,2,188,1,-1.4767157892827427,0.7969899587276889
1221,1994,2n Cycle,Divorced,61909.96,1,1,2013-11-22,52,69,8,141,31,8,28,7,8,0,3,8,0,0,0,0,0,0,0,21,3,2,285,18,0,370,1,-1.477333207406671,2.6679703379728092
1222,1964,Graduation,Divorced,65027.99,1,0,2014-08-10,4,561,65,107,21,35,83,0,4,4,11,7,0,0,1,0,0,0,0,51,2,1,872,19,1,109,3,2.0686727011092403,0.03409439878326166
1223,1950,Master,Divorced,89130.06,0,0,2014-03-03,18,782,49,445,77,11,143,3,3,6,7,2,0,1,0,1,0,0,0,65,1,0,1507,19,2,269,0,3.2086550635908417,0.1017155860392128
1224,1967,Basic,Single,25643.29,0,0,2014-01-03,37,31,7,40,0,1,20,3,3,0,0,6,0,0,0,0,0,0,0,48,1,0,99,6,0,328,2,-2.108604144379126,-0.2132258288759833
1225,1983,Master,Married,49349.35,1,1,2014-02-27,20,41,2,95,36,39,19,6,6,0,1,7,0,0,0,0,0,0,0,32,4,2,232,13,0,273,1,-1.4385196669267923,1.8240636296618444
1226,1992,Graduation,Divorced,37434.2,1,0,2013-06-28,30,206,10,112,5,18,19,6,7,2,2,4,0,0,1,0,0,0,0,23,2,1,370,17,1,517,1,-0.8083055669612257,1.5274405235911166
1227,1973,Master,Married,100269.68,0,0,2014-07-30,22,311,50,419,10,60,131,0,6,6,10,1,1,0,0,0,0,0,0,42,2,0,981,22,1,120,0,3.7007693460449413,-0.1399071824517831
1228,1963,Graduation,Together,59318.73,0,2,2013-06-15,12,158,20,150,56,0,64,4,2,4,6,4,0,0,0,0,0,0,1,52,4,2,448,16,1,530,3,0.8257558044277908,-0.013359416339987738
1229,1985,Basic,Single,38495.58,1,0,2013-01-09,71,23,16,41,6,7,11,1,1,1,1,7,0,0,0,0,0,0,0,30,2,1,104,4,0,687,2,-2.031563451382105,-1.1830292921546877
1230,1955,PhD,Married,62706.57,0,1,2014-05-10,30,395,29,252,79,14,68,3,3,0,8,1,0,0,0,0,0,0,0,60,3,1,837,14,0,201,3,1.1195493765532116,-0.6733403433850569
1231,1982,Master,Divorced,42151.31,2,1,2013-02-24,64,45,10,109,0,43,23,3,8,1,2,10,0,0,0,0,0,0,0,33,4,3,230,14,0,641,1,-1.9950935449335787,1.7463837812484226
1232,1979,Graduation,Single,33278.21,0,0,2014-07-31,78,4,0,42,17,2,33,1,3,0,2,4,0,0,0,0,0,0,0,36,1,0,98,6,0,119,2,-1.833057146752565,-1.274294205461731
1233,1981,Graduation,Married,81756.46,0,1,2014-03-30,0,518,57,289,106,87,133,0,3,5,8,1,0,0,0,1,1,0,0,34,3,1,1190,16,2,242,0,3.3312986973040006,-0.9115163193878995
1234,1983,Graduation,Married,15459.0,1,0,2014-01-30,39,0,12,44,20,0,35,1,3,0,2,3,0,0,0,0,0,0,0,32,3,1,111,6,0,301,2,-1.5241614698281711,-1.3456800406199778
1235,1972,Master,Together,38516.55,1,0,2013-05-04,60,281,21,265,7,17,46,1,0,4,5,5,0,0,0,0,0,0,1,43,3,1,637,10,1,572,2,-0.1319304441494073,-1.5651410019452574
1236,1979,Graduation,Single,30837.22,0,1,2014-04-14,41,82,30,39,23,18,18,6,11,2,2,5,0,0,0,0,0,0,0,36,2,1,210,21,0,227,1,-1.277855935757121,2.59450052787663
1237,1968,Master,Together,56954.31,1,1,2014-05-03,17,271,29,58,70,8,46,0,2,1,5,6,0,0,0,0,0,0,0,47,4,2,482,8,0,208,3,0.18506838173702744,-0.8770286853186916
1238,1967,PhD,Married,54122.55,0,1,2014-09-19,22,243,40,290,36,42,41,2,3,1,8,3,0,0,0,0,0,0,1,48,3,1,692,14,1,69,3,0.8947610682603465,-0.627132282294753
1239,1989,Graduation,Single,48020.09,2,1,2014-10-09,9,51,23,62,12,28,30,5,9,2,2,6,0,0,0,0,0,0,0,26,4,3,206,18,0,49,1,-0.5960558118302666,2.2871712375283355
1240,1982,Graduation,Divorced,24606.13,1,0,2014-05-14,18,11,0,29,16,5,18,1,2,1,6,2,0,0,0,0,0,0,0,33,2,1,79,10,0,197,3,-0.3118121628949134,-1.6048117285851535
1241,1986,Graduation,Single,42896.77,1,0,2014-01-31,44,122,7,128,1,33,14,6,6,2,1,9,0,0,0,0,0,0,0,29,2,1,305,15,0,300,1,-1.7593907850865464,2.0376984978859194
1242,1975,Master,Single,15825.42,0,0,2012-12-21,50,20,0,25,25,0,9,0,2,1,3,5,0,0,1,0,0,0,0,40,1,0,79,6,1,706,2,-1.6147335910792042,-1.5967270150659767
1243,1977,2n Cycle,Together,28399.65,0,1,2012-07-29,70,10,0,17,3,0,15,0,0,1,2,5,0,0,0,0,0,0,0,38,3,1,45,3,0,851,2,-1.8373755251462247,-2.131685214114766
1244,1962,Graduation,Widow,88578.64,1,0,2013-10-03,46,648,77,431,100,67,20,1,7,7,8,3,0,0,0,0,0,0,0,53,2,1,1343,23,0,420,0,3.081770794803825,0.6063125913246045
1245,1959,Graduation,Married,54908.68,1,1,2014-04-28,40,239,18,226,14,41,63,2,4,1,8,5,0,0,0,0,0,0,0,56,4,2,601,15,0,213,3,0.33985970250977426,-0.1562520369014514
1246,1976,Graduation,Together,34509.24,2,1,2013-06-13,52,0,0,126,48,0,13,1,5,3,3,4,0,0,0,0,0,0,0,39,5,3,187,12,0,532,2,-0.696849670072688,-0.4852837533569563
1247,1943,Graduation,Together,53872.76,0,0,2014-07-23,60,279,21,195,0,3,61,3,3,2,8,1,0,0,0,0,1,0,0,72,2,0,559,16,1,127,3,0.5918736808269862,-0.8997306883713092
1248,1954,PhD,Divorced,50978.42,1,1,2013-03-31,62,244,68,198,51,11,28,1,2,3,8,4,0,1,0,0,0,0,0,61,3,2,600,14,1,606,3,0.4525547224843277,-1.1993652785084274
1249,1980,Graduation,Together,40311.87,0,0,2013-07-16,62,174,30,29,21,0,18,6,2,0,3,7,0,1,0,0,0,0,0,35,2,0,272,11,1,499,1,-2.0081620080060705,0.4373402620151232
1250,1980,Basic,Married,33380.23,0,1,2014-09-01,51,36,1,80,17,8,17,1,2,0,2,7,0,0,0,0,0,0,0,35,3,1,159,5,0,87,2,-1.826407304238736,-0.8821066536069595
1251,1962,PhD,Married,69185.22,1,0,2014-05-12,11,442,44,346,101,48,71,0,6,7,9,2,0,0,1,1,0,0,0,53,3,1,1052,22,2,199,0,3.190260883948351,-0.09646262292062832
1252,1944,Master,Single,59600.54,0,1,2012-07-21,19,294,42,96,32,22,71,1,2,4,8,6,0,0,1,0,0,0,0,71,2,1,557,15,1,859,3,1.0730659712626691,-0.5314356593789634
1253,1985,Graduation,Together,48408.96,1,0,2013-11-17,51,0,32,71,12,0,30,6,8,0,2,9,0,0,0,0,0,0,0,30,3,1,145,16,0,375,1,-2.051219646386289,2.454486745977521
1254,1960,Graduation,Married,97161.33,0,0,2013-08-13,29,675,87,478,59,66,68,4,1,5,9,6,1,1,0,1,0,0,0,55,2,0,1433,19,3,471,0,2.5758926966451403,0.41195059418361357
1255,1945,Graduation,Divorced,58598.91,0,2,2013-08-08,21,417,44,192,74,32,88,2,3,1,9,3,1,0,0,0,0,0,0,70,3,2,847,15,1,476,3,1.275159854949331,-0.5727920165441089
1256,1973,Master,Married,64793.36,0,2,2012-11-26,39,300,35,98,35,34,46,3,2,3,7,4,0,0,0,0,0,0,1,42,4,2,548,15,1,731,3,0.7095118360943751,-0.4227998329926611
1257,1960,Basic,Married,31846.8,1,0,2013-08-07,41,61,11,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,1,55,3,1,72,2,1,477,2,-1.6856520076528874,-1.5706488999108772
1258,1951,Graduation,Married,50178.15,0,1,2012-06-28,26,311,8,173,14,26,21,3,2,1,8,4,0,0,1,0,0,0,0,64,3,1,553,14,1,882,3,0.38556213080345103,-0.5421346103905945
1259,1975,Graduation,Single,39126.44,2,1,2014-08-17,32,25,15,78,16,31,25,4,9,2,5,10,0,0,0,0,0,0,1,40,4,3,190,20,1,102,1,-1.177996596845169,2.4203181728562555
1260,1967,Master,Single,37070.36,1,0,2014-11-04,18,20,0,34,16,3,29,0,4,1,3,5,0,0,0,0,0,0,0,48,2,1,102,8,0,23,2,-0.6711312652380015,-0.7148871343714778
1261,1969,PhD,Married,87758.99,0,0,2013-08-02,48,691,53,388,112,64,138,1,10,8,5,7,1,1,1,1,0,0,0,46,2,0,1446,24,4,482,0,2.477596003436482,2.1175813490700155
1262,1966,Basic,Married,85773.86,1,1,2014-10-15,21,469,5,484,107,53,76,2,6,7,7,4,1,1,1,1,0,0,0,49,4,2,1194,22,4,43,0,2.8553802527351446,0.8818543285330711
