ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
1199,1970,Graduation,Together,49206.33,0,1,02-10-2013,25,415,32,106,93,14,23,0,5,2,8,6,0,0,0,0,0,0,0
1200,1951,Graduation,Married,58035.16,0,2,17-01-2013,25,283,16,195,39,31,74,2,2,1,7,2,1,0,1,0,0,0,0
1201,1970,PhD,Together,122874.62,0,1,28-08-2014,29,778,43,462,87,86,138,1,7,5,4,5,1,1,1,1,0,0,1
1202,1962,PhD,Married,54467.23,1,1,07-07-2014,28,424,33,237,52,33,45,3,2,1,6,4,0,0,0,0,0,0,0
1203,1990,Graduation,Divorced,19182.66,1,0,23-07-2014,69,29,5,28,8,9,13,0,1,0,5,3,0,0,0,0,0,0,0
1204,1951,PhD,Married,50693.8,1,0,07-03-2013,38,461,32,193,35,28,48,2,1,2,12,3,0,0,0,0,0,0,0
1205,1994,2n Cycle,Together,44438.17,2,1,21-09-2014,65,148,21,0,7,0,9,6,5,0,5,7,0,0,0,0,0,0,0
1206,1951,Master,Married,63370.77,1,1,14-11-2014,34,253,22,116,51,21,39,1,4,0,7,5,0,0,0,0,0,0,0
1207,1969,Master,Divorced,52623.08,0,0,30-11-2013,15,368,19,269,58,31,78,3,2,1,4,5,1,0,0,0,0,0,1
1208,1969,PhD,Married,59001.18,1,0,14-02-2013,46,276,38,256,7,30,59,2,2,4,7,4,0,0,0,1,0,0,0
1209,1970,PhD,Together,71807.07,0,0,04-02-2013,45,723,114,768,118,46,111,1,7,11,7,1,0,0,0,1,0,0,0
1210,1973,Basic,Single,25676.99,0,0,21-10-2013,42,34,12,0,19,8,11,3,2,0,0,5,0,0,0,0,0,0,0
1211,1963,Basic,Married,27858.22,1,0,01-03-2013,43,55,0,17,3,9,16,3,2,0,2,4,0,0,0,0,0,0,0
1212,1986,Master,Married,44333.14,0,0,14-09-2013,18,141,22,118,28,21,6,4,5,3,1,4,0,0,0,0,0,0,0
1213,1976,Master,Married,30000.0,1,1,14-09-2013,28,176,25,132,32,44,51,3,4,6,6,6,0,0,0,0,0,0,0
1214,1984,Master,Divorced,79330.08,0,0,14-12-2013,29,975,44,581,74,111,61,1,7,7,9,3,1,0,0,0,0,0,1
1215,1964,Graduation,Together,34103.28,1,0,25-04-2013,80,19,4,56,18,17,12,0,4,1,3,8,0,0,0,0,0,0,0
1216,1980,Graduation,Divorced,24665.57,2,0,29-04-2014,79,0,1,40,7,2,21,1,2,1,2,7,0,0,0,0,0,0,0
1217,1960,Master,Married,46773.39,1,1,23-01-2013,54,258,48,45,25,52,65,0,4,2,8,3,0,0,0,0,0,0,0
1218,1961,Master,Married,63463.48,1,2,16-01-2013,26,501,47,149,38,22,38,3,2,1,5,7,0,0,1,0,0,0,0
1219,1975,PhD,Single,73276.32,0,0,01-11-2012,21,702,68,300,28,54,117,1,6,9,11,4,1,1,0,0,1,0,0
1220,1983,Graduation,Married,33492.29,1,1,23-05-2014,55,86,13,91,7,21,40,3,6,0,6,8,0,1,0,0,0,0,1
1221,1994,2n Cycle,Divorced,61909.96,1,1,22-11-2013,52,69,8,141,31,8,28,7,8,0,3,8,0,0,0,0,0,0,0
1222,1964,Graduation,Divorced,65027.99,1,0,10-08-2014,4,561,65,107,21,35,83,0,4,4,11,7,0,0,1,0,0,0,0
1223,1950,Master,Divorced,89130.06,0,0,03-03-2014,18,782,49,445,77,11,143,3,3,6,7,2,0,1,0,1,0,0,0
1224,1967,Basic,Single,25643.29,0,0,03-01-2014,37,31,7,40,0,1,20,3,3,0,0,6,0,0,0,0,0,0,0
1225,1983,Master,Married,49349.35,1,1,27-02-2014,20,41,2,95,36,39,19,6,6,0,1,7,0,0,0,0,0,0,0
1226,1992,Graduation,Divorced,37434.2,1,0,28-06-2013,30,206,10,112,5,18,19,6,7,2,2,4,0,0,1,0,0,0,0
1227,1973,Master,Married,100269.68,0,0,30-07-2014,22,311,50,419,10,60,131,0,6,6,10,1,1,0,0,0,0,0,0
1228,1963,Graduation,Together,59318.73,0,2,15-06-2013,12,158,20,150,56,0,64,4,2,4,6,4,0,0,0,0,0,0,1
1229,1985,Basic,Single,38495.58,1,0,09-01-2013,71,23,16,41,6,7,11,1,1,1,1,7,0,0,0,0,0,0,0
1230,1955,PhD,Married,62706.57,0,1,10-05-2014,30,395,29,252,79,14,68,3,3,0,8,1,0,0,0,0,0,0,0
1231,1982,Master,Divorced,42151.31,2,1,24-02-2013,64,45,10,109,0,43,23,3,8,1,2,10,0,0,0,0,0,0,0
1232,1979,Graduation,Single,33278.21,0,0,31-07-2014,78,4,0,42,17,2,33,1,3,0,2,4,0,0,0,0,0,0,0
1233,1981,Graduation,Married,81756.46,0,1,30-03-2014,0,518,57,289,106,87,133,0,3,5,8,1,0,0,0,1,1,0,0
1234,1983,Graduation,Married,15459.0,1,0,30-01-2014,39,0,12,44,20,0,35,1,3,0,2,3,0,0,0,0,0,0,0
1235,1972,Master,Together,38516.55,1,0,04-05-2013,60,281,21,265,7,17,46,1,0,4,5,5,0,0,0,0,0,0,1
1236,1979,Graduation,Single,30837.22,0,1,14-04-2014,41,82,30,39,23,18,18,6,11,2,2,5,0,0,0,0,0,0,0
1237,1968,Master,Together,56954.31,1,1,03-05-2014,17,271,29,58,70,8,46,0,2,1,5,6,0,0,0,0,0,0,0
1238,1967,PhD,Married,54122.55,0,1,19-09-2014,22,243,40,290,36,42,41,2,3,1,8,3,0,0,0,0,0,0,1
1239,1989,Graduation,Single,48020.09,2,1,09-10-2014,9,51,23,62,12,28,30,5,9,2,2,6,0,0,0,0,0,0,0
1240,1982,Graduation,Divorced,24606.13,1,0,14-05-2014,18,11,0,29,16,5,18,1,2,1,6,2,0,0,0,0,0,0,0
1241,1986,Graduation,Single,42896.77,1,0,31-01-2014,44,122,7,128,1,33,14,6,6,2,1,9,0,0,0,0,0,0,0
1242,1975,Master,Single,15825.42,0,0,21-12-2012,50,20,0,25,25,0,9,0,2,1,3,5,0,0,1,0,0,0,0
1243,1977,2n Cycle,Together,28399.65,0,1,29-07-2012,70,10,0,17,3,0,15,0,0,1,2,5,0,0,0,0,0,0,0
1244,1962,Graduation,Widow,88578.64,1,0,03-10-2013,46,648,77,431,100,67,20,1,7,7,8,3,0,0,0,0,0,0,0
1245,1959,Graduation,Married,54908.68,1,1,28-04-2014,40,239,18,226,14,41,63,2,4,1,8,5,0,0,0,0,0,0,0
1246,1976,Graduation,Together,34509.24,2,1,13-06-2013,52,0,0,126,48,0,13,1,5,3,3,4,0,0,0,0,0,0,0
1247,1943,Graduation,Together,53872.76,0,0,23-07-2014,60,279,21,195,0,3,61,3,3,2,8,1,0,0,0,0,1,0,0
1248,1954,PhD,Divorced,50978.42,1,1,31-03-2013,62,244,68,198,51,11,28,1,2,3,8,4,0,1,0,0,0,0,0
1249,1980,Graduation,Together,40311.87,0,0,16-07-2013,62,174,30,29,21,0,18,6,2,0,3,7,0,1,0,0,0,0,0
1250,1980,Basic,Married,33380.23,0,1,01-09-2014,51,36,1,80,17,8,17,1,2,0,2,7,0,0,0,0,0,0,0
1251,1962,PhD,Married,69185.22,1,0,12-05-2014,11,442,44,346,101,48,71,0,6,7,9,2,0,0,1,1,0,0,0
1252,1944,Master,Single,59600.54,0,1,21-07-2012,19,294,42,96,32,22,71,1,2,4,8,6,0,0,1,0,0,0,0
1253,1985,Graduation,Together,48408.96,1,0,17-11-2013,51,0,32,71,12,0,30,6,8,0,2,9,0,0,0,0,0,0,0
1254,1960,Graduation,Married,97161.33,0,0,13-08-2013,29,675,87,478,59,66,68,4,1,5,9,6,1,1,0,1,0,0,0
1255,1945,Graduation,Divorced,58598.91,0,2,08-08-2013,21,417,44,192,74,32,88,2,3,1,9,3,1,0,0,0,0,0,0
1256,1973,Master,Married,64793.36,0,2,26-11-2012,39,300,35,98,35,34,46,3,2,3,7,4,0,0,0,0,0,0,1
1257,1960,Basic,Married,31846.8,1,0,07-08-2013,41,61,11,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,1
1258,1951,Graduation,Married,50178.15,0,1,28-06-2012,26,311,8,173,14,26,21,3,2,1,8,4,0,0,1,0,0,0,0
1259,1975,Graduation,Single,39126.44,2,1,17-08-2014,32,25,15,78,16,31,25,4,9,2,5,10,0,0,0,0,0,0,1
1260,1967,Master,Single,37070.36,1,0,04-11-2014,18,20,0,34,16,3,29,0,4,1,3,5,0,0,0,0,0,0,0
1261,1969,PhD,Married,87758.99,0,0,02-08-2013,48,691,53,388,112,64,138,1,10,8,5,7,1,1,1,1,0,0,0
1262,1966,Basic,Married,85773.86,1,1,15-10-2014,21,469,5,484,107,53,76,2,6,7,7,4,1,1,1,1,0,0,0
1263,1952,Graduation,Married,66520.17,1,0,11-12-2013,26,261,30,177,30,32,40,0,5,2,7,7,0,0,0,0,0,0,0
1264,1980,Master,Together,43388.52,0,0,22-08-2014,49,80,40,118,7,23,33,4,5,0,1,8,0,1,1,0,0,0,0
1265,1993,Master,Single,36614.2,0,0,30-03-2013,57,207,0,59,14,20,7,7,6,0,3,7,1,0,0,0,0,0,0
1266,1975,Basic,Single,24058.31,2,0,14-05-2014,76,14,11,6,14,5,6,1,2,0,1,9,0,0,0,0,0,0,0
1267,1981,Graduation,Divorced,35315.33,0,1,21-12-2012,52,122,29,153,7,0,43,5,6,1,3,7,1,0,0,1,0,0,0
1268,1973,Graduation,Married,25977.13,0,1,06-12-2012,40,0,9,8,4,4,15,0,1,0,3,6,0,0,0,0,0,0,0
1269,1944,PhD,Married,66470.54,0,0,07-05-2013,42,395,7,200,44,25,58,2,2,1,6,6,0,0,0,0,0,0,0
1270,1984,Master,Single,45859.16,0,1,11-04-2014,54,71,6,90,36,17,0,3,7,1,0,7,0,0,0,0,0,0,0
1271,1966,PhD,Widow,96371.83,0,0,17-06-2013,35,402,99,711,45,84,63,2,3,10,6,3,1,0,0,1,1,0,0
1272,1981,Master,Single,39660.15,2,0,08-12-2013,48,202,7,31,24,29,11,2,7,1,2,7,0,0,0,0,0,0,0
1273,1983,Master,Widow,21344.4,0,0,16-02-2014,43,47,6,13,11,8,13,3,1,0,3,3,0,0,0,0,0,0,0
1274,1979,Graduation,Together,56654.91,1,0,04-09-2012,35,87,16,55,17,0,43,3,10,1,6,10,0,0,0,0,0,0,0
1275,1976,Graduation,Married,99751.82,0,1,05-06-2013,20,792,52,480,72,42,147,1,1,0,8,3,0,0,1,1,0,0,0
1276,1980,Graduation,Single,58240.19,2,1,08-07-2014,61,87,18,144,11,5,31,6,6,2,4,10,0,0,0,0,0,0,0
1277,1962,Master,Single,34883.17,1,1,05-06-2013,44,39,15,21,5,0,0,1,1,1,4,9,0,0,0,0,0,0,1
1278,1969,Graduation,Divorced,91039.77,0,0,29-06-2013,38,687,62,245,69,102,119,4,4,5,10,3,0,0,1,0,1,0,0
1279,1980,Basic,Widow,40377.82,0,0,07-11-2012,51,43,0,33,5,2,4,1,2,0,0,6,0,0,0,0,0,0,0
1280,1957,Graduation,Together,76492.27,1,0,20-01-2013,0,692,63,225,59,57,127,0,6,6,6,3,0,1,0,0,0,0,1
1281,1967,Graduation,Divorced,48000.0,1,0,01-07-2012,66,21,10,45,12,10,14,0,0,0,2,6,0,0,0,0,0,0,0
1282,1962,Master,Married,48192.7,0,0,06-08-2014,37,260,44,188,56,45,74,3,1,4,9,4,1,0,0,0,0,0,1
1283,1971,Master,Divorced,86188.68,0,1,21-09-2012,0,787,57,399,99,44,112,0,3,10,7,2,1,0,0,1,0,0,0
1284,1983,Graduation,Together,26157.06,0,0,03-04-2014,83,44,8,46,0,2,11,0,4,0,6,8,0,0,0,0,0,0,0
1285,1983,2n Cycle,Married,45948.69,0,0,08-03-2013,33,68,4,116,7,3,28,5,9,1,1,5,0,0,0,0,0,0,0
1286,1977,Master,Married,57251.95,1,1,20-08-2014,35,67,13,109,33,31,17,0,4,4,4,4,0,0,0,0,0,0,0
1287,1972,Master,Married,54487.2,0,1,27-05-2012,32,195,16,288,62,20,45,2,3,1,2,3,0,0,0,0,0,0,0
1288,1959,Graduation,Together,81581.5,0,1,03-06-2012,57,822,64,354,37,97,166,0,6,4,5,4,1,1,0,0,0,0,0
1289,1952,PhD,Married,93052.08,0,1,19-09-2013,28,749,64,456,81,116,108,0,2,7,7,3,1,0,1,1,1,0,0
1290,1966,PhD,Married,74747.84,0,0,03-03-2013,37,565,72,302,88,23,107,2,4,8,6,3,0,0,0,0,0,0,1
1291,1970,Master,Widow,74962.13,1,1,11-08-2014,29,837,69,470,104,52,69,0,5,9,11,1,1,0,0,0,0,0,1
1292,1963,PhD,Single,80486.4,0,1,08-10-2012,17,541,81,412,81,69,97,0,7,9,10,6,1,0,0,1,0,0,1
1293,1953,Basic,Married,74518.55,0,0,28-08-2013,27,783,78,393,87,64,73,2,5,5,8,0,0,0,0,0,0,0,0
1294,1975,Basic,Together,36039.19,0,0,02-02-2013,47,47,7,58,10,6,1,0,2,0,5,4,0,0,0,0,0,0,0
1295,1966,PhD,Divorced,86632.26,0,1,24-08-2014,9,785,97,515,60,52,75,0,5,5,11,1,1,0,1,0,0,0,1
1296,1966,PhD,Together,63949.31,0,1,12-06-2012,0,436,44,204,48,39,35,5,2,1,11,4,0,0,0,1,0,0,0
1297,1968,Master,Together,66599.3,0,1,07-08-2012,16,485,23,256,40,60,121,0,6,10,10,2,1,0,0,1,0,0,1
1298,1954,2n Cycle,Together,76034.65,0,0,15-01-2013,12,725,70,556,92,34,135,2,6,6,8,4,0,0,0,0,0,0,1
1299,1961,Master,Married,53551.33,0,0,29-05-2012,41,312,29,273,18,32,70,1,3,3,8,4,0,0,1,0,0,0,0
1300,1978,Graduation,Together,39467.89,1,1,11-09-2013,84,20,16,41,12,3,12,2,1,1,0,6,0,0,0,0,0,0,0
1301,1990,Graduation,Married,43986.48,0,1,13-07-2013,12,111,0,62,18,23,0,3,10,2,2,9,0,0,0,0,0,0,0
1302,1973,Graduation,Married,79915.43,0,0,15-01-2014,33,424,53,495,100,70,100,3,5,5,12,4,0,0,0,0,1,0,1
1303,1975,2n Cycle,Divorced,25071.41,0,0,26-11-2012,44,64,0,75,6,0,7,3,1,0,4,4,0,0,0,0,0,1,0
1304,1948,Graduation,Divorced,90361.03,0,1,16-05-2013,31,655,112,393,116,63,130,2,4,10,8,3,1,0,0,0,1,0,0
1305,1978,Graduation,Divorced,46721.69,2,0,24-05-2014,55,74,0,50,19,19,23,6,6,0,3,9,0,0,0,0,0,0,0
1306,1970,Master,Married,65477.33,1,0,02-10-2012,36,104,35,164,35,39,84,1,2,0,5,4,0,0,0,0,0,0,1
1307,1989,Basic,Widow,18840.5,2,1,24-10-2013,59,74,18,50,4,10,2,3,2,1,0,4,0,0,0,0,0,0,0
1308,1976,Basic,Married,39740.73,1,0,11-07-2012,54,9,4,0,13,13,0,0,0,0,3,7,0,0,0,0,0,0,0
1309,1958,Graduation,Married,62784.3,0,0,16-07-2013,39,352,37,304,16,31,70,2,4,2,12,3,1,0,0,0,0,0,0
1310,1982,Graduation,Married,43264.55,1,0,13-11-2012,36,116,32,64,42,21,41,3,1,1,1,8,0,0,0,0,0,0,0
1311,1972,Graduation,Single,18758.08,0,1,06-11-2014,54,14,6,34,0,14,12,2,3,0,1,3,0,0,0,0,0,0,0
1312,1957,2n Cycle,Single,31153.66,2,1,16-09-2012,43,24,7,31,5,3,13,1,2,0,1,4,0,0,0,0,0,0,0
1313,1986,PhD,Single,18056.82,0,0,14-02-2014,44,26,0,68,13,9,7,2,2,0,1,6,0,0,0,0,0,0,0
1314,1971,PhD,Together,70109.71,1,2,30-03-2013,34,217,7,163,46,11,33,2,4,3,7,4,0,0,0,0,0,0,0
1315,1966,PhD,Married,81576.73,0,0,30-08-2014,56,796,65,476,99,66,106,0,2,14,2,3,0,0,0,0,1,0,0
1316,1982,Graduation,Together,42036.39,0,0,25-09-2014,51,80,2,61,24,25,12,6,9,1,4,8,0,1,0,0,0,0,0
1317,1980,Master,Single,,0,1,05-10-2012,40,88,32,38,31,17,14,4,5,1,2,7,0,0,0,0,0,0,0
1318,1949,2n Cycle,Married,42465.16,0,0,18-12-2013,34,362,18,100,43,44,18,1,1,2,7,6,0,1,0,0,0,0,1
1319,1969,Master,Divorced,23777.03,0,0,12-10-2014,63,49,9,63,1,0,13,1,0,1,3,5,0,0,0,0,0,0,0
1320,2000,Master,Married,41060.14,1,1,18-07-2014,60,65,8,162,32,30,25,5,2,1,4,5,1,0,0,0,0,0,0
1321,1957,Graduation,Married,53936.85,1,0,22-06-2013,58,400,19,63,49,35,22,2,3,3,6,5,0,0,0,0,0,1,0
1322,1983,2n Cycle,Divorced,44353.27,1,1,07-09-2014,79,131,12,10,40,14,32,6,4,0,3,5,0,0,0,0,0,0,0
1323,1960,Basic,Married,29647.25,1,0,15-11-2013,49,23,7,40,11,17,21,3,1,0,0,2,0,0,0,0,0,0,0
1324,1982,Master,Married,102840.5,0,1,11-12-2013,0,658,74,426,118,65,151,1,8,4,8,2,0,1,0,0,0,0,1
1325,1982,Graduation,Together,35033.3,0,1,29-06-2012,45,72,16,79,0,28,38,8,8,2,4,10,0,0,0,0,0,0,0
1326,1972,Graduation,Together,73466.58,0,0,11-09-2014,29,580,76,329,82,74,177,5,3,2,9,2,0,0,0,0,1,0,0
1327,1965,2n Cycle,Divorced,64406.11,0,0,04-10-2012,29,789,119,609,66,49,161,4,4,5,10,2,1,1,1,1,1,0,0
1328,1962,2n Cycle,Married,24922.08,0,1,13-03-2013,69,41,16,23,20,10,23,1,0,0,1,2,0,0,0,0,0,0,0
1329,1988,Master,Together,47768.42,1,1,12-02-2013,56,67,13,67,0,0,3,6,1,1,0,5,0,0,0,0,0,0,0
1330,1995,Master,Married,20152.14,0,0,06-03-2013,41,27,0,13,23,25,25,0,1,1,4,2,0,0,0,0,0,0,0
1331,1951,Master,Married,55977.02,0,1,25-05-2013,26,352,10,94,5,11,48,2,5,0,6,8,0,0,0,0,1,0,0
1332,1975,Graduation,Together,89897.1,0,0,15-01-2014,59,614,23,238,69,46,54,0,4,2,13,3,0,0,0,0,1,0,1
1333,1967,2n Cycle,Married,28608.13,0,0,23-09-2014,94,34,13,57,2,15,16,0,1,1,5,6,0,0,0,0,0,0,0
1334,1967,2n Cycle,Single,90707.46,0,0,18-06-2014,27,592,59,321,54,39,60,4,4,5,5,3,0,1,0,0,0,0,1
1335,1983,Graduation,Married,36153.87,2,0,14-02-2013,50,31,13,45,2,21,0,2,0,0,1,7,0,0,1,0,0,0,0
1336,1957,Master,Together,76818.44,1,0,14-06-2012,31,250,93,606,7,37,107,1,7,9,7,4,1,1,0,0,0,1,0
1337,1960,Graduation,Married,60480.03,0,1,18-11-2014,71,349,38,158,61,34,22,3,1,4,8,3,0,0,0,0,0,0,0
1338,1982,Master,Married,77522.99,1,1,23-01-2013,15,599,61,548,47,71,90,0,6,8,12,2,0,0,1,0,0,0,0
1339,1990,Graduation,Divorced,42801.5,2,0,27-06-2014,67,94,25,114,22,24,57,3,7,3,0,6,0,1,0,0,0,0,0
1340,1982,2n Cycle,Single,39171.92,0,0,22-04-2014,71,22,16,5,15,0,8,3,1,1,4,5,0,0,0,0,0,0,0
1341,1974,Master,Together,31575.05,2,0,20-06-2014,56,12,0,48,17,23,39,6,3,2,4,7,0,0,0,0,0,0,1
1342,1967,Master,Married,59944.81,1,2,28-08-2014,15,250,16,165,52,0,59,1,3,4,6,2,0,0,0,0,0,0,0
1343,1953,Graduation,Married,57771.45,0,1,09-10-2013,22,179,15,175,0,20,32,4,2,4,7,4,1,0,0,1,0,0,0
1344,1948,Graduation,Together,58683.41,0,0,05-10-2012,24,751,86,365,88,30,124,1,8,8,7,2,0,1,0,0,0,0,0
1345,1970,Master,Widow,21563.83,0,0,04-03-2013,71,86,7,17,16,5,7,0,3,0,3,4,0,0,0,1,0,0,0
1346,1954,Graduation,Widow,34970.74,2,0,05-03-2013,34,20,3,33,0,18,6,1,2,0,4,8,0,0,0,0,0,0,0
1347,1975,Master,Divorced,84149.58,0,0,17-03-2014,9,641,67,452,115,93,101,0,7,7,9,4,0,1,0,1,0,0,0
1348,1959,Master,Single,54674.0,0,1,06-11-2012,23,241,32,141,31,60,13,2,3,0,5,2,0,0,0,0,0,0,0
1349,1995,Basic,Married,41515.11,0,0,13-10-2013,52,86,38,35,27,28,23,4,5,0,1,6,0,0,0,0,0,0,1
1350,1969,Graduation,Married,64836.65,0,1,08-11-2013,24,306,32,182,12,37,80,2,0,3,7,3,0,0,0,0,0,0,0
1351,1973,PhD,Together,85162.08,0,0,12-03-2013,14,479,44,533,94,24,87,2,4,7,8,5,1,0,0,0,0,0,1
1352,1968,Graduation,Married,71705.66,0,2,11-10-2014,58,424,2,173,38,26,43,1,1,4,6,4,0,0,0,0,0,0,0
1353,1979,Master,Together,36474.77,0,0,29-11-2012,65,12,4,3,0,25,9,3,1,1,1,6,0,0,0,0,0,0,0
1354,1951,PhD,Together,51121.9,0,2,27-09-2014,47,401,4,96,28,15,66,2,2,2,9,3,0,0,0,0,0,0,0
1355,1977,Master,Married,76283.57,0,0,22-05-2013,36,578,96,700,91,77,81,3,3,5,9,6,0,1,0,0,0,0,1
1356,1968,Graduation,Divorced,22978.35,1,1,28-02-2013,70,13,0,32,15,33,0,1,5,0,1,5,0,0,0,0,0,0,0
1357,1984,Master,Single,42318.54,0,0,10-01-2014,31,134,12,48,16,37,10,9,10,1,2,8,0,0,0,0,0,0,0
1358,1967,Basic,Single,37191.43,1,1,01-12-2012,39,37,2,22,22,14,18,2,3,0,2,5,0,0,0,0,0,0,0
1359,1990,Master,Married,45786.69,1,0,02-11-2014,57,114,16,150,9,32,31,6,5,0,4,6,0,0,0,0,0,0,0
1360,1964,Graduation,Single,96443.15,0,1,14-08-2013,14,408,52,221,35,37,128,3,4,7,9,0,1,0,0,0,0,0,1
1361,1971,Graduation,Married,62956.65,0,2,28-07-2013,36,251,38,176,55,23,40,4,2,2,11,3,0,0,0,0,1,0,0
1362,1969,Basic,Single,29417.38,0,0,08-04-2014,22,13,5,26,7,9,11,0,2,0,1,12,0,0,0,0,0,0,0
1363,1978,Graduation,Married,55372.06,0,0,31-05-2012,67,584,24,166,42,35,112,0,6,3,3,3,0,0,0,1,0,0,0
1364,1984,PhD,Married,31720.73,0,0,30-08-2012,68,48,16,22,15,11,10,2,0,0,3,5,0,0,0,0,0,0,1
1365,1995,2n Cycle,Married,35299.39,0,1,20-08-2013,44,194,0,76,20,0,21,5,3,1,2,7,0,0,0,0,0,0,0
1366,1985,2n Cycle,Together,53671.93,1,0,17-03-2014,53,0,21,45,5,15,31,9,6,0,3,8,0,0,1,0,0,0,1
1367,1959,Graduation,Married,68040.66,0,0,01-08-2012,22,906,81,403,50,78,94,3,3,4,8,1,0,0,1,0,0,0,1
1368,1948,Master,Widow,44992.25,0,1,02-02-2013,13,289,58,230,12,6,47,0,3,1,8,4,1,1,1,0,0,0,0
1369,1986,2n Cycle,Single,36207.56,2,0,02-12-2013,25,14,30,102,24,9,25,7,7,2,2,9,0,0,0,0,0,0,0
1370,1979,2n Cycle,Single,38348.43,2,1,22-04-2014,57,172,17,14,19,10,0,3,7,2,3,4,0,0,1,0,0,0,0
1371,1987,Graduation,Married,33868.63,2,0,09-11-2012,37,104,11,63,29,27,51,10,7,1,0,9,0,0,0,0,0,0,0
1372,1993,Master,Single,,1,1,04-02-2014,65,64,24,106,25,16,27,7,6,1,7,9,0,0,1,0,0,0,0
1373,1964,Master,Married,77080.11,0,1,18-04-2013,24,678,92,283,115,39,146,2,7,5,10,2,1,0,0,0,0,0,0
1374,1991,2n Cycle,Single,31412.65,0,0,12-11-2012,24,98,3,136,27,16,38,6,4,0,0,4,0,0,0,0,0,0,0
1375,1980,2n Cycle,Single,33115.4,2,1,18-12-2012,63,0,11,40,28,12,31,7,9,0,1,6,0,0,0,0,0,0,1
1376,1985,Master,Together,43310.27,1,0,18-01-2013,52,87,30,147,21,1,27,3,2,1,4,7,0,0,0,0,0,0,0
1377,1968,Master,Married,35262.75,1,1,30-09-2012,99,22,9,34,8,7,0,0,2,1,7,4,0,0,0,0,0,0,0
1378,1958,PhD,Divorced,88789.93,1,0,20-10-2014,23,724,81,458,96,83,172,0,7,5,6,3,1,0,0,0,0,0,0
1379,1965,Master,Divorced,46267.45,0,1,07-01-2013,72,245,30,123,58,30,6,5,2,4,10,1,0,0,0,0,0,0,0
1380,1942,Master,Single,54026.77,0,0,30-06-2013,25,270,26,142,78,14,48,4,4,3,9,3,0,0,0,0,0,0,0
1381,1985,2n Cycle,Married,43513.0,2,0,18-08-2012,23,52,23,64,6,17,45,2,4,3,6,11,0,0,1,0,0,0,0
1382,1988,Graduation,Married,41848.64,2,0,02-06-2013,46,20,15,18,18,4,30,7,5,0,5,6,1,0,0,0,0,0,0
1383,1978,Basic,Single,15153.55,0,0,08-10-2012,40,23,3,15,5,4,11,1,2,0,3,4,0,0,0,0,0,0,0
1384,1976,Master,Single,49454.88,2,1,15-10-2012,44,124,16,51,9,4,13,5,4,0,2,6,0,0,0,0,0,0,0
1385,1948,Master,Married,44789.3,1,1,19-12-2013,26,347,6,311,60,26,37,2,4,3,10,3,0,0,1,0,0,0,0
1386,1961,Basic,Married,31652.28,1,0,15-05-2013,50,41,10,3,1,0,5,1,2,0,2,1,0,0,0,0,0,0,0
1387,1983,Graduation,Single,32486.59,1,1,28-05-2012,58,113,0,33,31,1,5,7,2,1,4,11,0,0,0,0,0,0,0
1388,1974,Graduation,Married,17625.34,2,0,18-12-2013,74,28,9,30,9,0,11,3,3,0,3,4,0,0,0,0,0,0,0
1389,1954,Graduation,Married,63683.54,1,1,22-06-2014,46,341,24,76,29,32,21,3,4,3,8,5,0,0,0,0,0,0,0
1390,1962,Master,Single,58771.54,0,2,03-09-2013,15,364,27,154,23,21,51,3,4,2,6,2,0,0,0,0,0,0,0
1391,1971,PhD,Married,54771.73,0,0,13-11-2014,78,224,14,182,47,35,53,0,2,0,9,5,0,0,0,0,0,0,1
1392,1987,2n Cycle,Single,63196.32,1,0,01-11-2012,67,121,0,101,24,18,25,3,3,2,1,11,0,0,0,0,0,0,0
1393,1966,PhD,Married,51483.5,0,1,24-11-2014,24,236,52,262,26,30,68,2,3,1,10,3,0,0,0,0,0,0,0
1394,1992,Graduation,Together,39714.54,0,0,20-10-2014,13,61,30,143,6,21,14,7,7,0,1,9,0,0,1,1,0,0,0
1395,1983,Graduation,Together,42787.1,0,1,08-06-2014,18,40,0,28,16,0,11,1,2,0,6,6,0,0,1,0,0,0,0
1396,1954,2n Cycle,Married,59915.56,0,0,25-06-2014,42,217,25,98,22,28,61,5,2,1,8,0,0,0,0,0,0,0,0
1397,1984,Graduation,Single,33552.28,1,0,02-07-2012,51,67,8,105,23,10,0,3,6,0,2,9,0,0,0,0,0,0,0
1398,1984,Basic,Divorced,49004.6,1,0,23-07-2013,58,165,5,0,9,9,54,4,6,1,2,6,0,0,0,1,0,0,1
1399,1998,Basic,Single,23028.29,0,0,28-11-2013,54,41,13,17,0,5,18,2,2,1,3,4,0,0,0,0,0,0,0
1400,1977,2n Cycle,Married,30432.79,1,0,09-11-2014,71,1,6,78,3,12,6,4,5,0,0,6,0,0,0,0,0,0,0
1401,1981,Master,Single,49014.95,1,1,12-08-2012,0,48,13,120,27,0,16,3,7,0,4,7,0,0,0,0,0,0,0
